鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中西區,土地,頂美段820地號,1485.19,住,,,1010925,土地1建物0車位0,,,公寓(5樓含以下無電梯),,,,0.0,0,0,0,有,無,78880000,53111,,0.0,0,,RPRNMLMJJIHFFAD76CA,0.0,0.0,0.0,,
中西區,土地,頂美段820-1地號,1752.77,住,,,1010925,土地1建物0車位0,,,公寓(5樓含以下無電梯),,,,0.0,0,0,0,有,無,93880000,53561,,0.0,0,,RPSNMLMJJIHFFAD86CA,0.0,0.0,0.0,,
北區,房地(土地+建物)+車位,台南市北區中華北路一段１０５巷５０號六樓之６,27.52,住,,,1011023,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0831013,134.85999999999999,3,2,2,有,有,2500000,18537,坡道平面,0.0,0,,RPROMLMJJIHFFAD86CA,82.26,0.0,7.37,,
北區,土地,北安段50-259地號,1210.59,住,,,1011015,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80198000,66247,,0.0,0,,RPRNMLPJJIHFFAD07CA,0.0,0.0,0.0,,
安平區,房地(土地+建物),台南市安平區國平路５９９號十三樓之１０,4.61,住,,,1011018,土地1建物1車位0,十三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0831222,52.57,1,1,1,有,有,775000,14742,,0.0,0,,RPTNMLPJJIHFFAD27CA,35.72,0.0,4.97,,
北區,房地(土地+建物)+車位,台南市北區北成路４０１號七樓之２,21.73,住,,,1011002,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0990406,82.45,3,2,2,有,有,6680000,81019,坡道平面,0.0,0,,RPXNMLQJJIHFFAD77CA,75.11,0.0,7.34,,
北區,房地(土地+建物)+車位,台南市北區北園街６號十九樓之１,13.53,住,,,1010906,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0851202,181.81,4,2,2,有,有,4600000,25301,坡道平面,0.0,0,,RPPNMLRJJIHFFAD07CA,101.49,14.15,0.0,,
北區,房地(土地+建物),台南市北區長榮路五段９８號,32.0,住,,,1011009,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住家用,加強磚造,0610312,64.6,3,0,0,有,無,2800000,43344,,0.0,0,,RPTOMLRJJIHFFAD57CA,64.6,0.0,0.0,,
北區,房地(土地+建物),台南市北區和順里民德路107之4號,38.06,其他,,,1011024,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0701223,111.56,3,2,2,有,無,1300000,11653,,0.0,0,,RPQPMLTKJIHFFAD67CA,91.11,0.0,5.66,,
中西區,房地(土地+建物)+車位,台南市中西區民族路二段１０７號十三樓之９,14.27,商,,,1011025,土地3建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0831019,153.04,3,1,2,有,有,3770000,24634,坡道平面,0.0,0,,RPOPMLNLJIHFFAD96CA,85.62,1.46,9.99,,
北區,房地(土地+建物)+車位,台南市北區北門路二段577巷3號二樓之1,31.08,住,,,1011009,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土構造,0930521,143.76,3,2,2,有,有,3800000,26432,坡道平面,0.0,0,,RPVOMLQLJIHFFAD87CA,86.89,0.0,8.61,,
安南區,土地,鹿北段1045-2地號,34.57,其他,,,1011026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62919,1820,,0.0,0,,RPOOMLPJJIHFFBD96CA,0.0,0.0,0.0,,
安南區,土地,鹿北段1045-2地號,34.57,其他,,,1011026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62919,1820,,0.0,0,,RPPOMLPJJIHFFBD07CA,0.0,0.0,0.0,,
安南區,土地,鹿北段1045-2地號,69.14,其他,,,1011026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,125839,1820,,0.0,0,,RPQOMLPJJIHFFBD17CA,0.0,0.0,0.0,,
安南區,土地,鹿北段1045-2地號,34.57,其他,,,1011026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62919,1820,,0.0,0,,RPROMLPJJIHFFBD27CA,0.0,0.0,0.0,,
安南區,土地,鹿北段1045-2地號,34.77,其他,,,1011026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,62919,1810,,0.0,0,,RPSOMLPJJIHFFBD37CA,0.0,0.0,0.0,,
安南區,土地,鹿北段946-1地號,559.66,其他,,,1011026,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1018590,1820,,0.0,0,,RPUOMLPJJIHFFBD57CA,0.0,0.0,0.0,,
安南區,土地,科工段203地號,8861.23,工,,,1011025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,118568888,13381,,0.0,0,,RPXNMLQJJIHFFBD87CA,0.0,0.0,0.0,,
安南區,土地,溪墘段1158-94地號,46.17,住,,,1011023,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,761774,16498,,0.0,0,,RPTNMLSJJIHFFBD67CA,0.0,0.0,0.0,,
安南區,房地(土地+建物),台南市安南區海東六街４０號,117.48,住,,,1010917,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1010615,201.96,6,2,4,有,無,8150000,40355,,0.0,0,,RPSNMLMKJIHFFBD07CA,201.96,0.0,0.0,,
安南區,房地(土地+建物),台南市安南區長溪路三段３７３巷２１弄２１６號,105.6,住,,,1011101,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土構造,0830309,127.66,4,3,3,有,無,4000000,31333,,0.0,0,,RPQOMLMKJIHFFBD96CA,121.42,0.0,6.24,,
安南區,土地,安和段128-5地號,708.17,農,,,1011024,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13902878,19632,,0.0,0,,RPRNMLQKJIHFFBD37CA,0.0,0.0,0.0,,
安南區,房地(土地+建物),台南市安南區北安二街82號,168.75,住,,,1010709,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1000516,188.96,4,1,2,有,有,10380000,54932,,0.0,0,,RPVNMLMLJIHFFBD47CA,158.11,8.55,22.3,,
安南區,房地(土地+建物),台南市安南區安中二街112號,100.63,住,,,1010909,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1010110,167.08,4,2,3,有,有,7790000,46624,,0.0,0,,RPTNMLMLJIHFFBD27CA,151.0,6.79,9.29,,
安南區,房地(土地+建物),台南市安南區頂安里安中路1段388巷56弄7號,90.88,住,,,1010912,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1010727,208.51,0,0,0,有,無,7320000,35106,,0.0,0,,RPSOMLQLJIHFFBD67CA,179.57,0.0,28.94,,
安南區,房地(土地+建物),台南市安南區頂安里安中路1段388巷21弄12號,92.0,住,,,1010912,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1010727,211.35,0,0,0,有,無,7300000,34540,,0.0,0,,RPWNMLQLJIHFFBD97CA,191.54,0.0,19.81,,
安南區,房地(土地+建物),台南市安南區同安路322巷10號,73.93,住,,,1011009,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土構造,0850606,176.99,7,3,4,有,無,5800000,32770,,0.0,0,,RPWPMLQLJIHFFBD18CA,161.46,0.0,15.53,,
東區,房地(土地+建物)+車位,台南市東區崇明路117號十樓之1,16.09,住,,,1011011,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0850203,167.26,4,2,2,有,有,4300000,25708,坡道機械,0.0,0,,RPOOMLMJJIHFFCD76CA,103.25,0.0,13.31,,
東區,房地(土地+建物)+車位,台南市東區崇善里崇善五街18號3樓之1,13.36,住,,,1011018,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0831206,98.2,2,0,1,有,有,3200000,32587,坡道平面,0.0,0,,RPPOMLMJJIHFFCD86CA,55.81,0.0,6.8,,
