鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
安平區,房地(土地+建物),臺南市安平區安北路４０巷１９之２號,56.0,住,,,1150204,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0660209,70.62,2,1,2,有,無,3800000,53809,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLOJKHLGFAD37DA,70.62,0.0,0.0,無,
安南區,房地(土地+建物)+車位,臺南市安南區長溪路二段６０７號四樓之３,34.99,住,,,1150202,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080318,101.97,2,1,2,有,有,7800000,76493,一樓平面,14.22,0,,RPPNMLPJKHLGFBD57DA,59.54,0.0,6.48,有,001
安南區,房地(土地+建物),臺南市安南區安和路一段４９６巷４１弄１５號,80.0,住,,,1150202,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0650929,90.73,3,1,3,有,無,1671000,18417,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；預售屋、或土地及建物分件登記案件；,RPWNMLTJKHLGFBD68DA,87.21,0.0,3.52,無,
柳營區,土地,東安段942地號,70.74,住,,,1150204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2620000,37037,,0.0,0,,RPRNMLTJKHLGFDD38DA,0.0,0.0,0.0,無,
白河區,土地,河東段614-16地號,51.0,,鄉村區,乙種建築用地,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,5882,,0.0,0,,RPPNMLQJKHLGFED97DA,0.0,0.0,0.0,無,
東山區,土地,前大埔段139-1地號,303.5,,山坡地保育區,農牧用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,130000,428,,0.0,0,,RPPNMLTJKHLGFED28DA,0.0,0.0,0.0,無,002
東山區,土地,前大埔段139地號,1407.5,,山坡地保育區,農牧用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,620000,440,,0.0,0,,RPQNMLTJKHLGFED38DA,0.0,0.0,0.0,無,003
麻豆區,土地,紀安段542地號,29.02,,特定農業區,農牧用地,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,139800,4817,,0.0,0,,RPRNMLQJKHLGFFD28DA,0.0,0.0,0.0,無,004
將軍區,土地,將軍段1653地號,1202.0,,特定農業區,農牧用地,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,793320,660,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLTJKHLGFGD78DA,0.0,0.0,0.0,無,
歸仁區,土地,歸仁北段1677地號,21.19,住,,,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,833196,39320,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLSLJHLGFID76EA,0.0,0.0,0.0,無,005
鹽水區,土地,三和段313地號,534.54,,鄉村區,乙種建築用地,1150201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1859520,3479,,0.0,0,袋地，無對外通行道路。,RPPNMLTJKHLGFDD18DA,0.0,0.0,0.0,無,
新營區,土地,太子段1710地號,47.18,住,,,1150205,土地17建物0車位0,,,其他,,,,0.0,0,0,0,無,無,763460,16182,,0.0,0,,RPSNMLTJKHLGFDD48DA,0.0,0.0,0.0,無,006
新化區,土地,知母義段434-8地號,58.0,,鄉村區,乙種建築用地,1150203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,540000,9310,,0.0,0,未登記建物面積46.80平方公尺 房屋已破損不堪使用未登記建物；,RPSNMLKKKHLGFHD08DA,0.0,0.0,0.0,無,
