鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
六甲區,土地,中社段179-9地號,147.0,,鄉村區,乙種建築用地,1150201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,578100,3933,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLMJKHLGFFD97DA,0.0,0.0,0.0,無,
下營區,土地,仁里段1084地號,15.34,住,,,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,58670,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNJKHLGFFD87EA,0.0,0.0,0.0,無,
南區,土地,南豐段37-18地號,396.8,農,,,1150202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,10081,,0.0,0,,RPTOMLPJKHLGFCD18DA,0.0,0.0,0.0,無,
柳營區,土地,篤農段378-2地號,2.83,,鄉村區,乙種建築用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19775,6988,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLTJKHLGFDD88EA,0.0,0.0,0.0,無,001
柳營區,土地,篤農段378-2地號,8.48,,鄉村區,乙種建築用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,59325,6996,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLTJKHLGFDD98EA,0.0,0.0,0.0,無,001
柳營區,土地,篤農段377-1地號,29.74,,鄉村區,乙種建築用地,1150204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,208167,7000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLTJKHLGFDD09EA,0.0,0.0,0.0,無,
中西區,房地(土地+建物),臺南市中西區金華路三段２５２號十一樓之１３,3.11,商,,,1150201,土地2建物1車位0,十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870219,35.230000000000004,1,0,1,有,有,2736800,77684,,0.0,0,,RPSNMLQJKHLGFAD87DA,22.73,0.31,2.71,有,
仁德區,房地(土地+建物),臺南市仁德區德財二街１３號,39.99,住,,,1150203,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1101019,65.66000000000001,3,3,4,有,有,8100000,123363,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLTJKHLGFID78DA,60.54,0.0,4.89,有,
中西區,房地(土地+建物),臺南市中西區正興街２４號,3.31,商,,,1150116,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0810319,35.32,1,1,1,有,無,1600000,45300,,0.0,0,,RPPOMLQLJHLGFAD77DA,34.44,0.0,0.88,無,
安平區,房地(土地+建物)+車位,臺南市安平區健康三街４６０巷６號六樓,6.87,住,,,1150106,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810508,34.84,3,2,2,有,有,2000000,57405,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRLJHLGFAD97DA,23.96,0.0,3.46,有,003
安平區,房地(土地+建物),臺南市安平區運河路５２巷５號,49.06,都市：其他:特定住宅專用區,,,1150116,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620910,40.87,3,1,3,有,無,2909000,71177,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPQNMLSLJHLGFAD97DA,40.87,0.0,0.0,無,
安南區,房地(土地+建物),臺南市安南區海東三街６８巷６號,125.1,住,,,1150101,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870626,203.77,4,2,3,有,無,13600000,66742,,0.0,0,其他增建；,RPVNMLKLJHLGFBD77DA,194.39,0.0,9.38,無,
安南區,土地,慈安段772-5地號,95.49,住,,,1150116,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,29322,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLRLJHLGFBD18DA,0.0,0.0,0.0,無,
安南區,土地,安東段225-1地號,498.99,都市：其他:細部計畫道路用地,,,1150116,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6137577,12300,,0.0,0,包含公共設施保留地用地；,RPXNMLRLJHLGFBD68DA,0.0,0.0,0.0,無,
東區,房地(土地+建物)+車位,臺南市東區崇慶街一段９２號八樓之５,16.62,住,,,1150121,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130816,114.97,2,2,2,有,有,12680000,124098,坡道平面,26.25,1670000,,RPUNMLMLJHLGFCD97DA,54.03,0.0,3.66,有,
東區,房地(土地+建物),臺南市東區府連路３４４巷１弄４０號,55.11,住,,,1150121,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0631008,55.38,3,1,2,有,無,3000000,54171,,0.0,0,,RPPNMLRLJHLGFCD97DA,55.38,0.0,0.0,無,004
南區,房地(土地+建物)+車位,臺南市南區水交社路３８號五樓,28.18,住,,,1150118,土地2建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1071114,167.56,3,2,2,有,有,13300000,79375,坡道平面,35.45,0,,RPPNMLTLJHLGFCD18DA,79.1,0.0,10.63,有,005
東區,房地(土地+建物),臺南市東區裕敬路２００號,74.19,住,,,1150109,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0910625,173.36,5,2,3,有,有,16300000,94024,,0.0,0,陽台外推；其他增建；,RPRNMLKMJHLGFCD57DA,151.49,0.0,21.87,無,
