鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
歸仁區,房地(土地+建物)+車位,臺南市歸仁區清水段52、54地號,37.06,住,,,1150104,土地2建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.26,3,2,2,有,無,13000000,110654,一樓平面,23.14,1700000,,RPPNMLOJJHLGFID08CB,府居柏金,A棟1號,
安南區,房地(土地+建物)+車位,臺南市安南區海中街130巷,87.9,住,,,1150103,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,160.18,3,2,2,有,無,14330000,89462,一樓平面,0.0,0,,RPRNMLPJJHLGFBD67CB,幾何學,A棟11號,
新市區,房地(土地+建物)+車位,臺南市新市區大營21號旁,33.35,,鄉村區,乙種建築用地,1150103,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,143.78,3,2,2,有,無,11200000,82790,坡道平面,24.2,1300000,,RPPNMLPJJHLGFHD08CB,煌聖．森友旭,A棟A5-10F號,
善化區,房地(土地+建物)+車位,臺南市善化區小新營5-12號旁,38.95,住,,,1150101,土地2建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.47,3,2,2,有,無,9380000,81871,其他,15.87,980000,,RPPNMLQJJHLGFHD18CB,皇邑,G-2F號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區清水段52、54地號,37.06,住,,,1150107,土地2建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.26,3,2,2,有,無,12800000,108696,一樓平面,23.14,1700000,,RPPNMLRJJHLGFID38CB,府居柏金,A棟1號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區清水段52、54地號,28.53,住,,,1150107,土地2建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.76,2,2,2,有,無,10000000,105571,一樓平面,23.14,1700000,,RPQNMLRJJHLGFID48CB,府居柏金,A棟5號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區清水段52、54地號,37.06,住,,,1150107,土地2建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.22,3,2,2,有,無,12600000,105758,一樓平面,23.1,1800000,,RPUNMLRJJHLGFID88CB,府居柏金,A棟1號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,10.95,商,,,1150102,土地2建物1車位1,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,107.79,2,2,2,有,無,16810000,181087,坡道平面,25.73,1950000,,RPPNMLSJJHLGFCD87CB,國城?實,K棟7號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,16.43,商,,,1150103,土地2建物1車位1,三層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.52,3,2,2,有,無,23370000,174037,坡道平面,25.73,2000000,,RPQNMLSJJHLGFCD97CB,國城?實,H棟6號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1150103,土地2建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.74,3,2,2,有,無,24780000,171641,坡道平面,25.73,1950000,,RPRNMLSJJHLGFCD08CB,國城?實,I棟2號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,16.43,商,,,1150104,土地2建物1車位1,十五層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.52,3,2,2,有,無,23730000,176562,坡道平面,25.73,2050000,,RPSNMLSJJHLGFCD18CB,國城?實,K棟6號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1150104,土地2建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.74,3,2,2,有,無,24730000,170513,坡道平面,25.73,2050000,,RPTNMLSJJHLGFCD28CB,國城?實,I棟2號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,18.83,商,,,1150104,土地2建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,167.23,3,2,2,有,無,27850000,183039,坡道平面,25.73,1950000,,RPUNMLSJJHLGFCD38CB,國城?實,E棟5號,
南區,房地(土地+建物)+車位,臺南市南區中華西路一段70巷,20.39,住,,,1150101,土地1建物1車位1,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.75,2,2,2,有,無,11920000,112791,坡道平面,43.14,1700000,,RPVNMLSJJHLGFCD48CB,天生贏家７- 是建築,A棟6號,
南區,房地(土地+建物)+車位,臺南市南區中華西路一段70巷,20.39,住,,,1150106,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,133.75,2,2,2,有,無,12250000,114226,坡道平面,43.14,1900000,,RPWNMLSJJHLGFCD58CB,天生贏家７- 是建築,A棟6號,
